Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS02G05Z623015,2010.06,2566,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,,
GFSA.SLS02G05Z623015,2011.06,2036,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,,
GFSA.SLS02G05Z623015,2012.06,2247,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,,
GFSA.SLS02G05Z623015,2013.06,2265,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,,
GFSA.SLS02G05Z623015,2014.06,2415,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,,
GFSA.SLS02G05Z623015,2015.06,2462,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,,
GFSA.SLS02G05Z623015,2016.06,3158,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,,
GFSA.SLS02G05Z623015,2017.06,3043,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,,
GFSA.SLS02G05Z623015,2018.06,3027,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,,
GFSA.SLS02G05Z623016,2009.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Insurance technical reserves,,,
GFSA.SLS02G05Z623016,2010.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Insurance technical reserves,,,
GFSA.SLS02G05Z623016,2011.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Insurance technical reserves,,,
GFSA.SLS02G05Z623016,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Insurance technical reserves,,,
GFSA.SLS02G05Z623016,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Insurance technical reserves,,,
GFSA.SLS02G05Z623016,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Insurance technical reserves,,,
GFSA.SLS02G05Z623016,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Insurance technical reserves,,,
GFSA.SLS02G05Z623016,2016.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Insurance technical reserves,,,
GFSA.SLS02G05Z623016,2017.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Insurance technical reserves,,,
GFSA.SLS02G05Z623016,2018.06,0,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Insurance technical reserves,,,
GFSA.SLS02G05Z623017,2009.06,3095,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2010.06,3695,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2011.06,8060,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2012.06,8230,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2013.06,8441,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2014.06,8494,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2015.06,8635,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2016.06,9063,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2017.06,9213,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2018.06,9292,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623022,2009.06,77,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Financial derivatives,,,
GFSA.SLS02G05Z623022,2010.06,62,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Financial derivatives,,,
GFSA.SLS02G05Z623022,2011.06,71,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Financial derivatives,,,
GFSA.SLS02G05Z623022,2012.06,128,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Financial derivatives,,,
GFSA.SLS02G05Z623022,2013.06,157,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Financial derivatives,,,
GFSA.SLS02G05Z623022,2014.06,177,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Financial derivatives,,,
GFSA.SLS02G05Z623022,2015.06,213,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Financial derivatives,,,
GFSA.SLS02G05Z623022,2016.06,263,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Financial derivatives,,,
GFSA.SLS02G05Z623022,2017.06,173,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Financial derivatives,,,
GFSA.SLS02G05Z623022,2018.06,286,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Financial derivatives,,,
GFSA.SLS02G05Z623023,2009.06,1107,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Other accounts receivable,,,
GFSA.SLS02G05Z623023,2010.06,1176,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Other accounts receivable,,,
GFSA.SLS02G05Z623023,2011.06,1320,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Other accounts receivable,,,
GFSA.SLS02G05Z623023,2012.06,1409,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Other accounts receivable,,,
GFSA.SLS02G05Z623023,2013.06,1484,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Other accounts receivable,,,
GFSA.SLS02G05Z623023,2014.06,1241,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Other accounts receivable,,,
GFSA.SLS02G05Z623023,2015.06,1470,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Other accounts receivable,,,
GFSA.SLS02G05Z623023,2016.06,1758,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Other accounts receivable,,,
GFSA.SLS02G05Z623023,2017.06,1745,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Other accounts receivable,,,
GFSA.SLS02G05Z623023,2018.06,1394,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Other accounts receivable,,,
GFSA.SLS02G05Z623025,2009.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Special drawing rights (SDRs),,,
GFSA.SLS02G05Z623025,2010.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Special drawing rights (SDRs),,,
GFSA.SLS02G05Z623025,2011.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Special drawing rights (SDRs),,,
