Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SGS01G02140,2013.06,1207,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2014.06,1194,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2015.06,1191,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2016.06,1017,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2017.06,1099,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2018.06,1341,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02142,2009.06,5209,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2010.06,5590,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2011.06,5868,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2012.06,6357,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2013.06,6385,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2014.06,6538,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2015.06,6544,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2016.06,7006,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2017.06,7498,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
